date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2003/8/1,0.0009,0.0211,0.0301,0.0265,0.0081,0.0143,0,-0.007,0,0,0,0,0,0,0,0,0.0142,0.0046,-0.003,-0.0315,0,0.0215,0,0,0.0567,0.0269,0.0291,0.1218,-0.0019,-0.3152,0.0466,0.69,0.3221,0,0.0661,0.0633,0.0566,0.058,0.0053,-0.0018,0.0369,0.0138,0.0303,上升
2003/9/1,-0.0023,0.0246,0.0283,0.0151,0.0015,-0.0121,0,-0.0079,0,0,0,0,0,0,0,0,0.0224,0.0762,0.0302,-0.0338,0,0.0774,0,0,0.0946,0.0521,-0.104,-0.0389,-0.0095,-0.1534,-0.0084,0.34,-0.2004,0,-0.0036,0.0063,-0.0078,0.0025,0.0027,0.0604,-0.008,0.0097,0.0428,上升
2003/10/1,0,-0.0585,0.0166,0.0117,0.0045,0.0188,0,-0.0177,0.0434,0.0513,-0.0056,-0.0169,0.2907,0.2077,0.0697,0.0912,0.02,0.0278,0.0189,-0.0228,0,0.0063,0,0,0.0403,-0.0011,0.0718,0.001,-0.0036,0.3438,0.0671,0.31,0.0441,0,-0.0088,0.0239,0.0101,0.0256,-0.0028,0.0139,0.0445,-0.0307,0.0458,持平
2003/11/1,0.0014,-0.004,0.0248,0.0117,0.005,0.0162,0,0,0,0,0,0,0,0,0,0,0.0082,0.0164,0.0107,-0.0098,0,-0.0478,0,0,0.1034,0.0287,0.0234,0.0069,0.0049,-0.2837,0.0539,0.58,0.1342,0,0.0725,-0.0567,0.0842,0.035,0.0037,0.0252,0.0484,-0.0257,0.002,持平
2003/12/1,-0.0024,0.1385,0.1059,0.0529,0.0156,0.0321,0,-0.0017,0,0,0,0,0,0,0,0,0.0371,0.0091,0.0293,0.0813,0,0.0089,0,0,-0.0314,0.0487,0.035,-0.0083,0.0004,-0.1429,-0.0621,0.42,-0.0141,0,-0.0306,-0.0516,-0.0416,-0.0114,0.005,0.0632,0.1084,-0.0427,-0.0166,上升
2004/1/1,0.0061,0.7483,-0.0198,0.032,0.0191,0.2641,0,0,-0.0002,0.005,0.0076,0.0297,-0.0187,0.0896,0.0465,0.0539,0.041,0.0721,0.048,0.0806,0,0.058,0,0,0.0692,0.0145,0.0648,-0.0302,-0.0109,0.2197,0.0312,0.46,0.3093,0,0.0739,0.0351,0.0624,0.0467,0.0041,0.0185,0.0114,-0.0276,0.0654,上升
2004/2/1,0.0007,-0.4787,-0.0146,0.0028,0.0049,-0.1362,0,0,0,0,0,0,0,0,0,0,0.0058,-0.0237,0.0096,0.0574,0,-0.0239,0,0,-0.045,-0.0261,0.008,-0.015,-0.0141,0.8137,-0.1244,-0.21,-0.0573,0,-0.1435,-0.1302,-0.1293,-0.0394,0.0029,-0.1598,-0.1766,-0.0109,0.0446,持平
2004/3/1,-0.0037,-0.0159,0.0396,0.0163,0.0067,-0.0274,0,-0.0012,0,0,0,0,0,0,0,0,-0.0262,-0.0336,-0.0169,0.0162,0,0.0761,0,0,-0.0506,0.0088,0.0643,-0.0625,0.0016,0.1644,0.0676,0.28,-0.22,0,0.0658,-0.0138,0.05,-0.0434,-0.0004,0.0997,0.1547,0.0177,0.0221,持平
2004/4/1,0.0006,-0.0054,-0.0163,-0.0011,0.0023,-0.0113,0,-0.0035,0.004,0.0043,0.0083,-0.0389,0.0244,0.0385,0.0217,0.0247,0.0092,0.0211,0.0081,-0.011,0,0.0454,0,0,0.0084,-0.0086,-0.0028,0.1344,-0.0092,-0.1441,0.1395,0.39,0.4687,0,0.1045,0.2105,0.1002,0.0564,0.0037,0.1173,0.1266,-0.0347,0.0012,下降
2004/5/1,-0.0034,0.0027,-0.0122,-0.0161,-0.0052,-0.0092,0,0,0,0,0,0,0,0,0,0,-0.0321,-0.0451,-0.0267,-0.0786,0,-0.0772,0,0,-0.0571,-0.0514,0.1,0.0867,0.0144,-0.4124,0.0343,0.39,-0.0717,0,-0.0308,-0.0348,-0.0135,-0.0038,0.0022,-0.0536,-0.1336,-0.0202,-0.1131,持平
